featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
logarithm_firstorder_Maximum,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHH_firstorder_Entropy,0,0,0,0,1,1,0,0,0,0,0,0,4,4,4,4,1,1,1,1
exponential_glcm_Contrast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square_gldm_DependenceEntropy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHL_firstorder_Uniformity,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1
original_glcm_SumEntropy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLL_glcm_JointEntropy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exponential_firstorder_TotalEnergy,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
exponential_glszm_ZonePercentage,2,2,2,2,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0
squareroot_glrlm_RunLengthNonUniformityNormalized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLL_glszm_ZoneVariance,0,0,0,0,0,0,0,0,3,2,3,2,1,1,1,1,1,0,1,0
lbp.3D.k_firstorder_Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exponential_gldm_DependenceNonUniformityNormalized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squareroot_firstorder_MeanAbsoluteDeviation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLL_glrlm_HighGrayLevelRunEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square_firstorder_TotalEnergy,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
wavelet.LHL_glrlm_LowGrayLevelRunEmphasis,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLL_glszm_ZoneVariance,4,4,4,4,10,10,10,10,11,11,11,11,15,14,14,13,28,24,21,17
gradient_glcm_DifferenceVariance,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
gradient_glcm_InverseVariance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_firstorder_Energy,6,5,4,3,2,2,2,2,3,3,3,3,4,3,4,3,2,1,2,1
wavelet.LLL_glcm_InverseVariance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLH_glszm_HighGrayLevelZoneEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLL_glcm_Id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
