featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
wavelet.LHH_firstorder_Entropy,0,0,0,0,2,2,1,1,4,4,1,1,2,1,1,0,5,1,2,1
exponential_glcm_Contrast,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
square_gldm_DependenceEntropy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHL_firstorder_Uniformity,3,3,3,3,2,2,2,2,3,3,2,2,1,1,0,0,1,1,1,1
original_glcm_SumEntropy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLL_glcm_JointEntropy,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
exponential_firstorder_TotalEnergy,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
exponential_glszm_ZonePercentage,1,1,1,1,3,3,3,3,11,11,8,8,8,4,5,2,9,4,6,2
squareroot_glrlm_RunLengthNonUniformityNormalized,4,3,4,3,1,1,1,1,4,4,2,2,3,2,2,1,1,0,0,0
wavelet.LLL_glszm_ZoneVariance,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
lbp.3D.k_firstorder_Energy,1,1,1,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
exponential_gldm_DependenceNonUniformityNormalized,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
squareroot_firstorder_MeanAbsoluteDeviation,3,2,3,2,4,4,4,4,3,3,1,1,1,1,1,1,9,4,4,0
wavelet.HLL_glrlm_HighGrayLevelRunEmphasis,1,1,1,1,0,0,0,0,2,2,2,2,1,1,0,0,1,1,0,0
square_firstorder_TotalEnergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_glrlm_LowGrayLevelRunEmphasis,21,19,19,17,28,23,25,23,22,19,16,12,15,13,11,9,12,5,8,3
wavelet.HLL_glszm_ZoneVariance,10,10,10,10,5,5,4,4,2,2,1,1,0,0,0,0,2,0,2,0
gradient_glcm_DifferenceVariance,1,1,1,1,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
gradient_glcm_InverseVariance,5,3,2,1,4,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0
wavelet.LHL_firstorder_Energy,14,11,10,9,16,15,15,14,14,12,8,7,11,7,9,6,3,0,1,0
wavelet.LLL_glcm_InverseVariance,2,2,2,2,8,8,7,7,3,3,2,2,2,1,2,1,1,1,1,1
wavelet.HLH_glszm_HighGrayLevelZoneEmphasis,2,1,2,1,2,1,2,1,4,3,2,2,5,2,2,0,1,0,0,0
wavelet.HLL_glcm_Id,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
logarithm_glrlm_GrayLevelNonUniformityNormalized,35,32,34,31,52,47,47,43,91,77,71,62,97,82,73,59,143,90,80,49
wavelet.HLL_glrlm_RunEntropy,46,37,45,36,114,98,104,91,172,145,143,122,198,153,143,106,254,156,151,93
wavelet.HHL_glszm_GrayLevelVariance,10,8,8,7,13,10,11,8,19,9,17,8,24,13,14,7,22,9,7,2
log.sigma.3.mm.3D_gldm_DependenceNonUniformityNormalized,6,5,6,5,7,4,7,4,1,1,1,1,3,1,3,1,3,1,2,1
gradient_glcm_Idn,4,3,2,1,3,2,3,2,1,1,1,1,4,1,3,0,1,0,1,0
square_gldm_LargeDependenceEmphasis,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
wavelet.HHL_firstorder_10Percentile,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gradient_firstorder_Skewness,15,10,13,9,12,8,12,8,9,6,5,3,1,1,0,0,1,1,1,1
square_glcm_DifferenceVariance,1,1,1,1,1,1,1,1,2,2,2,2,1,1,0,0,2,1,1,0
original_glrlm_ShortRunEmphasis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
gradient_glcm_SumAverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exponential_glcm_InverseVariance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
original_ngtdm_Coarseness,1,1,1,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLH_glrlm_HighGrayLevelRunEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
wavelet.HHL_firstorder_MeanAbsoluteDeviation,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,1,0,0,0
log.sigma.3.mm.3D_glrlm_HighGrayLevelRunEmphasis,6,3,4,1,8,5,6,3,6,5,4,3,4,1,4,1,0,0,0,0
exponential_glcm_JointEnergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
